Circuit: TRAN level 2 case 05: rc op initialized ladder

Transient Analysis
No. of Data Rows : 11

----------------------------------------------------------------------------------------
Index   time   v(in)   v(out)   vdrv#branch
----------------------------------------------------------------------------------------
       0   0.000000000000000e+00   3.300000000000000e+00   2.376601352247118e+00   -1.179113314410206e-03
       1   1.000000000000000e-06   3.300000000000000e+00   2.376601352247465e+00   -1.179113314410376e-03
       2   2.000000000000000e-06   3.300000000000000e+00   2.376601352247465e+00   -1.179113314410650e-03
       3   3.000000000000000e-06   3.300000000000000e+00   2.376601352247465e+00   -1.179113314410650e-03
       4   4.000000000000000e-06   3.300000000000000e+00   2.376601352247465e+00   -1.179113314410650e-03
       5   5.000000000000000e-06   3.300000000000000e+00   2.376601352247465e+00   -1.179113314410650e-03
       6   5.999999999999999e-06   3.300000000000000e+00   2.376601352247465e+00   -1.179113314410650e-03
       7   6.999999999999999e-06   3.300000000000000e+00   2.376601352247465e+00   -1.179113314410650e-03
       8   8.000000000000000e-06   3.300000000000000e+00   2.376601352247465e+00   -1.179113314410650e-03
       9   9.000000000000000e-06   3.300000000000000e+00   2.376601352247465e+00   -1.179113314410650e-03
      10   9.999999999999999e-06   3.300000000000000e+00   2.376601352247463e+00   -1.179113314410651e-03
